states,words,logit_seq,reset_bool,ind_seq
"[[ 0.09291852  0.1507017  -0.13647214  0.08867335 -0.1927343   0.2695885
  -0.0850376   0.10806188 -0.13024339 -0.05495322]]",0,[[-0.45470142  0.5428052 ]],1,0
"[[ 0.28101528  0.20884481 -0.30376232  0.0739419  -0.22532852  0.2699403
  -0.05827856 -0.25294808 -0.15270028 -0.28315914]]",0,[[-0.93175864  0.36599454]],0,0
"[[ 0.35883492  0.20517595  0.02495115  0.034975   -0.1517515   0.20744985
  -0.03979055 -0.66622156 -0.10530588 -0.02815146]]",0,[[-1.4890609  1.8759358]],0,0
"[[ 0.21892987  0.03879273  0.5470986   0.35104522  0.18855985 -0.0467571
   0.01169424 -0.5814848  -0.13111418  0.29152656]]",1,[[-2.131633   3.7968354]],0,0
"[[ 0.0052126  -0.23786108  0.46811306  0.5357942   0.2802146  -0.32675537
   0.34418508  0.07115153 -0.01518996  0.40707254]]",1,[[-0.50843656  2.1604133 ]],0,0
"[[-0.18968691 -0.39156756  0.32659343  0.41017342  0.20282482 -0.04470227
   0.5779144   0.12722489  0.33074158 -0.38098276]]",1,[[ 1.5098777 -1.2373775]],0,0
"[[-0.08006669 -0.07269064  0.16027386  0.36573145 -0.21530622  0.5550844
   0.47892815  0.47652596  0.5942881  -0.29790574]]",0,[[ 3.305465  -1.6923504]],0,0
"[[-0.07070434  0.04230436 -0.15816137 -0.27358255 -0.19609818  0.7200141
   0.38756898  0.4068014   0.4822427  -0.69387096]]",0,[[ 4.0867925 -3.8672633]],0,0
"[[-0.175529    0.0558461   0.3366575  -0.57976747 -0.05256776  0.77730256
   0.3283315   0.34987557  0.38964322 -0.61488897]]",1,[[ 3.904334  -2.8547087]],0,0
"[[-0.11786795  0.04557019 -0.12107453 -0.8112174  -0.03969529  0.7624017
   0.32665688  0.377721    0.39715296 -0.35234016]]",0,[[ 4.9349947 -4.237384 ]],0,0
"[[-0.18249467  0.03934088 -0.3562252  -0.7625403  -0.04258176  0.7584982
   0.2544098   0.27968553  0.2878515  -0.36068633]]",0,[[ 4.4183173 -4.49573  ]],0,0
"[[-0.26785845  0.04601333  0.02644712 -0.6090448   0.02788024  0.8789228
   0.23284365  0.21898204  0.29202107 -0.46253714]]",1,[[ 3.9209113 -3.3596883]],0,0
"[[-0.1602399   0.03604884 -0.2165674  -0.8350432  -0.00871758  0.7842753
   0.22462346  0.16879922  0.29818252 -0.30748206]]",0,[[ 4.3112574 -4.066151 ]],0,0
"[[-0.25263962  0.0411851   0.172358   -0.6294263   0.07241409  0.8862663
   0.20977604  0.14059284  0.30904645 -0.33519104]]",1,[[ 3.830398 -2.763856]],0,0
"[[-0.22690576  0.05237164  0.37074018 -0.7143461   0.14153719  0.88105434
   0.23221019  0.16750441  0.45324728 -0.20445535]]",1,[[ 4.446523  -2.5020828]],0,1
"[[-0.08681328  0.02745282  0.30345398  0.1326458   0.27022144 -0.04733381
   0.03748119  0.10502481  0.0311626  -0.06443629]]",1,[[-0.11094188  0.87095815]],1,0
"[[ 0.01647028  0.2344345   0.03683416  0.3038206  -0.19440398  0.2440866
  -0.12079956  0.29925114 -0.17609127  0.20964313]]",0,[[-0.8464186  1.8933172]],0,0
"[[ 0.30813137  0.33959678 -0.30192062  0.41949177 -0.33881983  0.17968015
  -0.07700989 -0.06074158 -0.2647802  -0.43937582]]",0,[[-2.002518   1.3069355]],0,0
"[[ 0.50430477  0.3431611  -0.07819686  0.4195708  -0.21398589  0.09967505
  -0.02760044 -0.63451725 -0.10864346 -0.06102568]]",0,[[-2.2231154  2.7771397]],0,0
"[[ 0.42666882  0.14651534  0.61100066  0.52714056  0.23880418 -0.14350814
  -0.00472125 -0.7035931  -0.21917085  0.2915521 ]]",1,[[-3.029769   5.0720983]],0,0
"[[ 0.09834392 -0.26561412  0.5641767   0.5996588   0.37810817 -0.3921033
   0.33303726  0.10397407 -0.21179405  0.539164  ]]",1,[[-1.1366379  3.117021 ]],0,0
"[[ 0.07878159 -0.05479513  0.29720125  0.5897561  -0.48472297  0.34981287
   0.12997253  0.23992448 -0.32903743 -0.29947612]]",0,[[-1.8980129  2.0477455]],0,0
"[[ 0.366692    0.218597   -0.0601394   0.7976579  -0.30977848  0.20842245
   0.02522724 -0.03121477 -0.44730985 -0.6214106 ]]",0,[[-3.0258677  2.4346275]],0,0
"[[ 0.54579926  0.33102366  0.6333557   0.7013917   0.14576991 -0.24192251
   0.00615188 -0.35153192 -0.30139214  0.05383142]]",1,[[-3.4668674  5.5759544]],0,0
"[[ 0.32054624  0.40755928  0.3871191   0.7633491  -0.24322443 -0.04284066
  -0.18862177  0.35205406 -0.5507407   0.5112758 ]]",0,[[-3.5275564  5.8013434]],0,0
"[[ 0.68071026  0.60729    -0.10239591  0.71021354 -0.48540935 -0.12316183
  -0.11943183 -0.11670902 -0.537487   -0.5558017 ]]",0,[[-4.4670815  4.0665913]],0,0
"[[ 0.69914746  0.55298686  0.10091427  0.78961647 -0.17415184 -0.06074498
  -0.01714307 -0.72045946 -0.10685909  0.35406652]]",0,[[-3.0906599  5.319553 ]],0,0
"[[ 0.60000986  0.5191429   0.39126846  0.76931304 -0.24473973  0.01742093
  -0.0803948  -0.8095701  -0.38351443  0.17496255]]",0,[[-4.5221653  6.360785 ]],0,0
"[[ 0.5429336   0.19296865  0.6761647   0.7399968   0.32863995 -0.36830595
   0.04460216 -0.74767876 -0.48512897  0.42019042]]",1,[[-4.339943  6.595141]],0,0
"[[ 0.22380638 -0.37262887  0.606547    0.6160702   0.460034   -0.4300922
   0.41905376  0.18536338 -0.40462327  0.5915036 ]]",1,[[-1.2962046  3.3935833]],0,1
"[[-0.08681328  0.02745282  0.30345398  0.1326458   0.27022144 -0.04733381
   0.03748119  0.10502481  0.0311626  -0.06443629]]",1,[[-0.11094188  0.87095815]],1,0
"[[-0.1530743   0.0717822   0.4120959   0.2749764   0.42735574 -0.22531807
   0.09956518  0.14887014  0.09432714  0.28757444]]",1,[[0.03481893 1.7228767 ]],0,0
"[[-0.04336678  0.29880083  0.22485463  0.4491109  -0.32188338  0.20742254
  -0.1343057   0.22782531 -0.2612691   0.20209444]]",0,[[-1.9433639  3.0938554]],0,0
"[[ 0.30465385  0.41324517 -0.14947024  0.6580802  -0.40107936  0.00976179
  -0.08583233 -0.12004879 -0.35159627 -0.46580794]]",0,[[-3.3386073  2.668716 ]],0,0
"[[ 0.5309856   0.43466386  0.6156488   0.615406   -0.00242135 -0.29484916
  -0.03417434 -0.49656424 -0.19732682  0.17621651]]",1,[[-3.6151514  5.8178725]],0,0
"[[ 0.27198726  0.08324519  0.67652524  0.5942958   0.3951516  -0.4864141
   0.09251442  0.19884266 -0.45497906  0.5539826 ]]",1,[[-2.5882077  5.083105 ]],0,0
"[[ 4.4254672e-02 -1.2724349e-01  5.4235053e-01  4.0556028e-01
   3.4607014e-01 -4.6610168e-01  2.5429994e-01  1.0096944e-01
  -4.8829272e-01  2.4578060e-04]]",1,[[-2.3258398  2.8344502]],0,0
"[[ 0.12346202  0.1300116   0.248969    0.6247962  -0.27691332  0.19466606
  -0.01747529  0.29085425 -0.48677155  0.33803383]]",0,[[-2.322534   3.7074232]],0,0
"[[ 0.48916742  0.42315266 -0.10459159  0.7364116  -0.42344922  0.09630618
  -0.09180297 -0.05508782 -0.56559235 -0.589456  ]]",0,[[-3.9415164  3.3033104]],0,0
"[[ 0.6396978   0.42454058  0.6404287   0.7080306   0.04968465 -0.27592808
  -0.02264168 -0.5066778  -0.2194816   0.23338093]]",1,[[-3.66368    6.2359476]],0,0
"[[ 0.32557058  0.04982682  0.69274396  0.6203579   0.42545205 -0.4642401
   0.10347966  0.23961654 -0.5104662   0.54823947]]",1,[[-2.615274   5.1846805]],0,0
"[[ 0.27689648  0.2876332   0.46339467  0.5984539  -0.4349232   0.1494847
  -0.23315103  0.24315259 -0.69063663 -0.00235336]]",0,[[-4.223621   5.1240215]],0,0
"[[ 0.54772735  0.45490327 -0.1647742   0.8088885  -0.395264   -0.1529447
  -0.08083875 -0.13810621 -0.4718648  -0.4213034 ]]",0,[[-4.1549335  3.6409178]],0,0
"[[ 0.6722465   0.54231215  0.06816686  0.78020245 -0.15792182 -0.03045416
  -0.02718296 -0.68477964 -0.17477123  0.18997039]]",0,[[-3.22041    5.0172606]],0,0
"[[ 0.613302    0.23119192  0.6419613   0.65734667  0.39982393 -0.2634466
   0.01709624 -0.69491005 -0.3897844   0.3171292 ]]",1,[[-3.6282587  6.0631175]],0,1
"[[ 0.09291852  0.1507017  -0.13647214  0.08867335 -0.1927343   0.2695885
  -0.0850376   0.10806188 -0.13024339 -0.05495322]]",0,[[-0.45470142  0.5428052 ]],1,0
"[[ 0.28101528  0.20884481 -0.30376232  0.0739419  -0.22532852  0.2699403
  -0.05827856 -0.25294808 -0.15270028 -0.28315914]]",0,[[-0.93175864  0.36599454]],0,0
"[[ 0.28096274  0.17166124  0.5187971   0.09433161  0.06019825  0.08497585
  -0.03632811 -0.48318994 -0.11342038  0.05275572]]",1,[[-1.7047681  3.1563444]],0,0
"[[ 0.03354947 -0.00547778  0.55928224  0.45619106  0.30795288 -0.30686757
   0.09718629  0.03285721 -0.09728754  0.45825878]]",1,[[-1.3328397  3.3485298]],0,0
"[[-0.131343   -0.13783768  0.43495244  0.40297553  0.22486576 -0.36301458
   0.33277264  0.10534631 -0.09956431 -0.04243202]]",1,[[-0.92331433  1.4310193 ]],0,0
"[[ 0.03305206  0.16997713  0.21635205  0.5897309  -0.31450444  0.25625408
   0.10882472  0.3242486  -0.17118576  0.08498685]]",0,[[-1.0392665  2.3614745]],0,0
"[[ 0.3692591   0.38844657 -0.17581926  0.6965595  -0.3670167   0.19675891
  -0.00621023 -0.0140858  -0.3988131  -0.5880847 ]]",0,[[-2.7793858  2.2678156]],0,0
"[[ 0.56801254  0.40501922  0.61361086  0.63086563  0.04226654 -0.21066415
  -0.00436877 -0.4520788  -0.19078289  0.085012  ]]",1,[[-3.2810178  5.5291333]],0,0
"[[ 0.27245444  0.09579398  0.69169223  0.61715966  0.44548944 -0.4653853
   0.09410236  0.22533354 -0.43442786  0.5660257 ]]",1,[[-2.4136798  5.109022 ]],0,0
"[[ 0.03390157 -0.1074388   0.55171096  0.40404886  0.35811275 -0.46126336
   0.24554518  0.09878112 -0.48831722  0.01399034]]",1,[[-2.3286614  2.909987 ]],0,0
"[[-0.047248   -0.27170137  0.49839953  0.45864695  0.50690794 -0.3852519
   0.41922772  0.12361222 -0.10084481  0.39958045]]",1,[[-0.16506355  1.8646835 ]],0,0
"[[-0.22152469 -0.48933846  0.3041371   0.37052464  0.305902    0.00788306
   0.6630253   0.09173391  0.40918666 -0.18253537]]",1,[[ 2.3621836 -1.6628242]],0,0
"[[-0.14428288 -0.2168628   0.17823468  0.2892596  -0.25055665  0.6183199
   0.59118766  0.4231037   0.7295212  -0.40045768]]",0,[[ 4.0292964 -2.6729217]],0,0
"[[-0.21474676 -0.10241981 -0.0355772  -0.3867898  -0.15298392  0.7861882
   0.5238639   0.46485913  0.72803015 -0.73618007]]",0,[[ 5.451692  -5.0093417]],0,0
"[[-0.20964888 -0.04839659 -0.27903017 -0.72910416 -0.07224968  0.84274614
   0.46943718  0.4191085   0.5914406  -0.6768379 ]]",0,[[ 5.888756 -5.886512]],0,1
"[[-0.08681328  0.02745282  0.30345398  0.1326458   0.27022144 -0.04733381
   0.03748119  0.10502481  0.0311626  -0.06443629]]",1,[[-0.11094188  0.87095815]],1,0
"[[ 0.01647028  0.2344345   0.03683416  0.3038206  -0.19440398  0.2440866
  -0.12079956  0.29925114 -0.17609127  0.20964313]]",0,[[-0.8464186  1.8933172]],0,0
"[[ 0.10736816  0.3566111   0.23758714  0.35585815  0.13806547 -0.11240381
  -0.0587522   0.09722567 -0.28416762 -0.5418613 ]]",1,[[-2.1496577  2.1574087]],0,0
"[[ 0.2560308   0.4089013  -0.22836505  0.5404109   0.08457746 -0.08458827
  -0.09033529  0.36106166 -0.22295916  0.44634917]]",0,[[-0.95744026  2.545465  ]],0,0
"[[ 0.6120284   0.5497392  -0.56271416  0.4122813  -0.17752855  0.13797937
  -0.07219115 -0.0268499  -0.26622227 -0.41768464]]",0,[[-1.4498947  1.2111305]],0,0
"[[ 0.6680959   0.42638162  0.4348192   0.25464475  0.23090146 -0.03713195
  -0.01706884 -0.5094196  -0.07113918  0.25166255]]",1,[[-1.5533525  4.298363 ]],0,0
"[[ 0.22797157  0.02506097  0.64427793  0.4715443   0.52161795 -0.2740488
   0.06751946  0.15299997 -0.266758    0.5447164 ]]",1,[[-1.3581531  4.116609 ]],0,0
"[[ 0.13270956  0.2591803   0.427913    0.56755584 -0.4146365   0.21384662
  -0.22276908  0.23176461 -0.57976437  0.12841427]]",0,[[-3.6104841  4.67687  ]],0,0
"[[ 0.38370562  0.4457437   0.49913108  0.65835714  0.07925108 -0.36213595
  -0.07836546  0.05361659 -0.54307455 -0.5527137 ]]",1,[[-4.282969   4.6633835]],0,0
"[[ 0.35768986  0.38666978  0.61799055  0.6228679   0.6190343  -0.6195611
  -0.06944457  0.3157938  -0.39406818  0.6667592 ]]",1,[[-2.5182233  5.7949085]],0,0
"[[ 0.35174564  0.4776873   0.39699557  0.47239146 -0.31533703 -0.04298523
  -0.3170593   0.20849633 -0.6211177   0.38680482]]",0,[[-4.015496   5.7431455]],0,0
"[[ 0.59666294  0.51071316 -0.11353543  0.6794734  -0.44563097 -0.14973517
  -0.08710339 -0.14754531 -0.3865475  -0.33729237]]",0,[[-3.8119814  3.6916494]],0,0
"[[ 0.67414594  0.5637166   0.07118271  0.73056185 -0.21998401 -0.02670896
  -0.03251852 -0.70028305 -0.16313201  0.16477884]]",0,[[-3.2531307  4.969146 ]],0,0
"[[ 5.7765496e-01  5.1284957e-01  4.1914684e-01  7.7490383e-01
  -1.8586825e-01 -8.3269284e-04 -6.7312598e-02 -8.3769071e-01
  -3.1220865e-01  2.6122507e-01]]",0,[[-4.2631927  6.383671 ]],0,0
"[[ 0.458666    0.4711457   0.5076224   0.83274174 -0.29187274 -0.10101946
  -0.10472364 -0.8248544  -0.48822182  0.34732276]]",0,[[-5.3603654  7.1480584]],0,1
"[[ 0.09291852  0.1507017  -0.13647214  0.08867335 -0.1927343   0.2695885
  -0.0850376   0.10806188 -0.13024339 -0.05495322]]",0,[[-0.45470142  0.5428052 ]],1,0
"[[ 0.28101528  0.20884481 -0.30376232  0.0739419  -0.22532852  0.2699403
  -0.05827856 -0.25294808 -0.15270028 -0.28315914]]",0,[[-0.93175864  0.36599454]],0,0
"[[ 0.28096274  0.17166124  0.5187971   0.09433161  0.06019825  0.08497585
  -0.03632811 -0.48318994 -0.11342038  0.05275572]]",1,[[-1.7047681  3.1563444]],0,0
"[[ 0.03354947 -0.00547778  0.55928224  0.45619106  0.30795288 -0.30686757
   0.09718629  0.03285721 -0.09728754  0.45825878]]",1,[[-1.3328397  3.3485298]],0,0
"[[ 0.07937262  0.24790733  0.35422722  0.55908155 -0.4345711   0.16892858
  -0.13479607  0.24161054 -0.45684212  0.02975048]]",0,[[-3.1005554  3.9049978]],0,0
"[[ 0.335166    0.4347795   0.4960985   0.638164    0.04385624 -0.35983035
  -0.05859116  0.06888027 -0.4794937  -0.5465285 ]]",1,[[-4.0454597  4.4090405]],0,0
"[[ 0.33858973  0.39302072  0.61074936  0.61340886  0.5882645  -0.6212087
  -0.05693406  0.30738622 -0.38436446  0.6550325 ]]",1,[[-2.5091152  5.719966 ]],0,0
"[[ 0.34819227  0.48274237  0.38434824  0.47261629 -0.32421228 -0.04915214
  -0.3067744   0.21198256 -0.61342764  0.37596166]]",0,[[-3.9811769  5.6744585]],0,0
"[[ 0.5986456   0.5137033  -0.12980732  0.6773452  -0.4434212  -0.14738137
  -0.08411164 -0.15212992 -0.37899166 -0.34022036]]",0,[[-3.7628114  3.6281404]],0,0
"[[ 0.7025405   0.492241    0.63084906  0.60112214  0.08389975 -0.29370874
  -0.03621687 -0.5589913  -0.2118547   0.23232695]]",1,[[-3.555219   6.2357073]],0,0
"[[ 0.33953154  0.04421093  0.7174714   0.59501266  0.4669211  -0.45218208
   0.08601425  0.22211996 -0.46294492  0.5971029 ]]",1,[[-2.4188964  5.199934 ]],0,0
"[[ 0.0371349  -0.1679222   0.56110805  0.41026056  0.3423395  -0.41360995
   0.24682604  0.09689479 -0.47823736 -0.01230789]]",1,[[-2.2571979  2.7619438]],0,0
