state,digit,transition,lbl
[[-0.07916741 -0.03852105]],0,0,0
[[ 0.20587066 -0.6452196 ]],1,1,0
[[0.00470777 0.37538347]],0,2,0
[[ 0.49951407 -0.22067337]],1,3,0
[[ 0.46817362 -0.22806813]],1,4,0
[[ 0.47483686 -0.26795092]],1,5,0
[[ 0.44376555 -0.23560143]],1,6,0
[[ 0.46145535 -0.29838356]],1,7,0
[[ 0.40780362 -0.23793232]],1,8,0
[[ 0.44214827 -0.3462905 ]],1,9,0
[[ 0.35096198 -0.2399102 ]],1,10,0
[[ 0.41368362 -0.41741192]],1,11,0
[[0.05064202 0.48001143]],0,12,0
[[-0.19449183 -0.11712182]],0,13,0
[[-0.10349667 -0.18539125]],0,14,0
