states,words,logit_seq,reset_bool,ind_seq,state_list_sm
[0.3848231  0.03470497],1,[-1.4427215  1.9371316],1,0,[0.03293107 0.96706893]
[0.61185884 0.1284489 ],1,[-2.0620952  2.897193 ],0,0,[0.00696901 0.99303099]
[ 0.6082928  -0.31564894],0,[-3.4526658  3.9864058],0,0,[0.00058749 0.99941251]
[ 0.76439446 -0.37590522],0,[-4.2730637  4.957648 ],0,0,[0.00009797 0.99990203]
[ 0.89224076 -0.22441459],1,[-4.309583   5.2520194],0,0,[0.00007037 0.99992963]
[ 0.94275635 -0.46519488],0,[-5.275119  6.118387],0,0,[0.00001127 0.99998873]
[ 0.95541674 -0.25824007],1,[-4.6714687  5.6686406],0,0,[0.00003231 0.99996769]
[ 0.96290934 -0.04511695],1,[-4.027456   5.1763287],0,0,[0.00010065 0.99989935]
[0.9540506  0.21618114],1,[-3.1650684  4.4778376],0,0,[0.0004792 0.9995208]
[0.83123773 0.53073084],1,[-1.674481   3.0472264],0,0,[0.00882146 0.99117854]
[-0.09054103  0.7871186 ],1,[ 2.85542   -2.4398966],0,0,[0.99501 0.00499]
[-0.6809108   0.82270014],1,[ 5.3497505 -5.633317 ],0,0,[0.99998301 0.00001699]
[-0.85723585  0.72575617],0,[ 5.7544155 -6.3187165],0,0,[0.99999429 0.00000571]
[-0.86389863  0.69630396],1,[ 5.68812   -6.2802753],0,0,[0.99999366 0.00000634]
[-0.9440278  0.6579128],0,[ 5.8899345 -6.6058793],0,1,[0.99999626 0.00000374]
[0.3848231  0.03470497],1,[-1.4427215  1.9371316],1,0,[0.03293107 0.96706893]
[0.61185884 0.1284489 ],1,[-2.0620952  2.897193 ],0,0,[0.00696901 0.99303099]
[0.63154393 0.30063558],1,[-1.5967786  2.5711303],0,0,[0.01524849 0.98475151]
[0.3012554 0.5119763],1,[0.40432632 0.3069346 ],0,0,[0.5243287 0.4756713]
[-0.20692603  0.01842267],0,[ 0.89309645 -1.1341491 ],0,0,[0.88362814 0.11637186]
[0.17967224 0.03728304],1,[-0.6069131  0.8518479],0,0,[0.1886569 0.8113431]
[0.47818077 0.09596038],1,[-1.625571   2.2752585],0,0,[0.01982418 0.98017582]
[0.5949909  0.22232592],1,[-1.6970526  2.5742767],0,0,[0.01377092 0.98622908]
[0.456119   0.40855262],1,[-0.5476426  1.3793631],0,0,[0.12708237 0.87291763]
[-0.09970174  0.577462  ],1,[ 2.2291036 -1.9650056],0,0,[0.98513998 0.01486002]
[-0.6035609  0.6276487],1,[ 4.4206247 -4.73992  ],0,0,[0.99989491 0.00010509]
[-0.789887   0.6160024],1,[ 5.1354866 -5.6907196],0,0,[0.99998013 0.00001987]
[-0.90023726  0.54219913],0,[ 5.3471937 -6.0869026],0,0,[0.99998918 0.00001082]
[-0.8703797   0.51831675],1,[ 5.1511827 -5.870303 ],0,0,[0.99998365 0.00001635]
[-0.9468429   0.47830686],0,[ 5.3330865 -6.1725903],0,1,[0.99998993 0.00001007]
[0.3848231  0.03470497],1,[-1.4427215  1.9371316],1,0,[0.03293107 0.96706893]
[0.61185884 0.1284489 ],1,[-2.0620952  2.897193 ],0,0,[0.00696901 0.99303099]
[ 0.6082928  -0.31564894],0,[-3.4526658  3.9864058],0,0,[0.00058749 0.99941251]
[ 0.76439446 -0.37590522],0,[-4.2730637  4.957648 ],0,0,[0.00009797 0.99990203]
[ 0.86374295 -0.42206454],0,[-4.8199024  5.5952654],0,0,[0.00002997 0.99997003]
[ 0.9207066  -0.44617027],0,[-5.1259756  5.9549675],0,0,[0.0000154 0.9999846]
[ 0.9471052  -0.24880849],1,[-4.608099  5.601402],0,0,[0.00003682 0.99996318]
[ 0.9582477  -0.03753873],1,[-3.9846745  5.1329074],0,0,[0.00010971 0.99989029]
[ 0.97432786 -0.49424437],0,[-5.494391   6.3568907],0,0,[0.00000713 0.99999287]
[ 0.9683009  -0.27371344],1,[-4.7724  5.775 ],0,0,[0.00002626 0.99997374]
[ 0.9866176  -0.48860446],0,[-5.5261297  6.4074497],0,0,[0.00000657 0.99999343]
[ 0.97451055 -0.26654312],1,[-4.774768   5.7897663],0,0,[0.00002581 0.99997419]
[ 0.97522247 -0.04722094],1,[-4.0837874  5.2463307],0,0,[0.0000887 0.9999113]
[0.9689533 0.2188625],1,[-3.2167084  4.5495186],0,0,[0.00042363 0.99957637]
[0.8747319 0.5392865],1,[-1.8228853  3.2546096],0,1,[0.00619687 0.99380313]
[0.3848231  0.03470497],1,[-1.4427215  1.9371316],1,0,[0.03293107 0.96706893]
[0.61185884 0.1284489 ],1,[-2.0620952  2.897193 ],0,0,[0.00696901 0.99303099]
[0.63154393 0.30063558],1,[-1.5967786  2.5711303],0,0,[0.01524849 0.98475151]
[0.3012554 0.5119763],1,[0.40432632 0.3069346 ],0,0,[0.5243287 0.4756713]
[-0.20692603  0.01842267],0,[ 0.89309645 -1.1341491 ],0,0,[0.88362814 0.11637186]
[0.17967224 0.03728304],1,[-0.6069131  0.8518479],0,0,[0.1886569 0.8113431]
[0.47818077 0.09596038],1,[-1.625571   2.2752585],0,0,[0.01982418 0.98017582]
[0.5949909  0.22232592],1,[-1.6970526  2.5742767],0,0,[0.01377092 0.98622908]
[0.456119   0.40855262],1,[-0.5476426  1.3793631],0,0,[0.12708237 0.87291763]
[-0.09970174  0.577462  ],1,[ 2.2291036 -1.9650056],0,0,[0.98513998 0.01486002]
[-0.52803916  0.28787905],0,[ 3.0410402 -3.4950838],0,0,[0.998552 0.001448]
[-0.6439297   0.18274081],0,[ 3.175967  -3.8422253],0,0,[0.99910536 0.00089464]
